年,pH 值,汞,溶氧量,鉛,銅,鋅,鎘,總達成率
2008,99.8,100,100,100,100,100,100,99.97
2009,99.8,100,99.5,100,100,100,100,99.9
2010,100,100,99.5,100,100,100,100,99.93
2011,100,100,99.5,100,100,100,100,99.93
2012,99.3,100,97.9,100,100,100,100,99.6
2013,99.8,100,99.8,100,100,100,100,99.94
2014,99.5,100,99.8,100,100,100,100,99.9
2015,100,100,99,100,100,100,100,99.86
2016,99.5,100,99.3,100,100,100,100,99.83
2017,99.6,100,100,100,99.8,100,100,99.91
2018,99.0,100,99.5,100,99.3,100,100,99.7
2019,100,95.2,90.8,99.4,100,100,100,97.91
2020,99.8,100,100,100,99.5,100,100,99.9
2021,99.3,100,99.8,100,99.5,100,100,99.8
2022,99.3,100,100,100,100,100,100,99.9
2023,100,100,100,100,100,100,100,100
2024,95.5,100,100,100,100,100,100,99.9
