年份,產量(百噸),價值(億)
1959,34.99,2.6023
1960,23.91,2.1905
1961,22.83,1.9221
1962,30.01,2.3282
1963,24.67,1.9698
1964,27.47,2.0841
1965,20.96,1.7847
1966,21.77,1.9422
1967,22.39,1.9633
1968,29.37,2.7094
1969,27.81,2.6851
1970,28.20,2.8652
1971,34.69,4.2697
1972,37.18,5.3944
1973,32.69,5.1634
1974,28.81,5.8914
1975,26.48,5.792
1976,39.39,8.9599
1977,29.79,9.5869
1978,28.41,7.9996
1979,32.68,12.6681
1980,37.16,12.4055
1981,44.32,20.5739
1982,43.63,16.8899
1983,49.98,21.3872
1984,63.52,26.7138
1985,80.94,29.8317
1986,94.03,32.9919
1987,111.85,46.356
1988,110.51,49.3128
1989,81.08,42.5914
1990,70.26,34.0257
1991,83.11,48.1326
1992,105.37,60.1415
1993,120.08,70.6813
1994,131.43,83.1139
1995,115.80,67.2032
1996,115.54,78.8623
1997,90.94,65.8114
1998,55.01,34.4439
1999,54.48,36.6178
2000,62.63,39.3594
2001,96.01,49.2265
2002,83.20,50.7695
2003,132.99,71.7824
2004,118.51,68.5654
2005,130.78,76.8753
2006,129.31,97.8021
2007,135.72,85.2454
2008,119.49,99.5327
2009,72.37,61.0901
2010,61.55,50.7019
2011,57.09,56.5346
2012,105.18,93.3293
2013,75.47,67.4849
2014,109.10,82.9423
2015,90.39,65.91471279
2016,68.38,62.74024471
2017,64.91,54.23602415
