,船隻數年變化 (艘),船隻馬力數年變化 (khp),船隻噸數年變化 (千噸)
1965,8167,308.692,117.881
,8842,379.067,141.98
,9657,504.937,175.143
,10068,538.083,204.491
,10469,601.156,230.563
1970,10515,655.32,249.444
,10247,714.314,263.016
,10592,814.4,295.938
,11365,1004.412,357.591
,11977,1212.174,434.116
1975,12002,1213.455,431.231
,11849,1167.004,407.514
,12031,1194.989,450.909
,12682,1277.188,418.775
,13457,1435.605,455.454
1980,13901,1529.579,476.48
,13938,1571.69,487.47
,14018,1612.238,488.848
,14246,1712.972,501.729
,14537,1944.297,552.408
1985,14310,2098.254,584.415
,14614,2272.291,622.269
,14863,2577.991,707.945
,15250,2943.692,801.172
,15895,3335.162,917.958
1990,15706,3493.504,968.473
,14747,3464.494,942.008
,14275,3503.879,926.703
,13298,3496.9,908.986
,13268,3600.564,911.578
1995,13865,3665.443,898.419
,13018,3772.736,885.606
,13192,3872.136,894.783
,12571,3823.1,815.074
,12669,3883.817,817.078
2000,12333,3891.96,810.106
,13286,3960.372,818.23
,13337,4104.85,821.72
,13399,4142.295,825.615
,13519,4163.892,826.913
2005,13463,4189.61,807.246
,13382,4143.933,743.736
,13022,4092.009,727.211
,12956,4034.211,694.666
,12685,3963.18,665.124
2010,12779,3993.889,674.951
,12295,3870.106,621.524
,12276,4019.253,619.419
,12159,3943.45,604.677
,12174,3960.145,590.604
